Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Offensive_Contribution,Passing_Ability,Defensive_Performance,Team_Impact,Overall_Performance_Index
Arthur Masuaku,West Ham,24,Democratic Republic of the Congo,2018/2019,7000000.0,7000000.0,Wing-Back,eng Premier League,23,19,1759.0,19.5,0.06422525559440206,0.2411687390440789,0.3943969141004185,0.5310429659394977,0.27070297796843656
Arthur Masuaku,West Ham,25,Democratic Republic of the Congo,2019/2020,10000000.0,6500000.0,Wing-Back,eng Premier League,17,10,937.0,10.4,0.5372412586492684,-0.18031516662034142,0.8135798403860275,-1.2043371391648847,0.28041281615831626
Arthur Masuaku,West Ham,26,Democratic Republic of the Congo,2020/2021,7500000.0,7000000.0,Wing-Back,eng Premier League,12,12,1006.0,11.2,0.5057790420884825,0.04080879801087575,-0.6414544512238725,0.6923399622934658,0.006660850430254911
Ashley Young,Manchester Utd,32,England,2017/2018,5000000.0,7000000.0,Wing-Back,eng Premier League,30,28,2442.0,27.1,0.15192416459078995,0.33101751778374977,-0.09126302929340739,-0.49041823131920415,0.04734774543856142
Ashley Young,Manchester Utd,33,England,2018/2019,7000000.0,5000000.0,Wing-Back,eng Premier League,30,28,2569.0,28.5,0.35253462276818753,-0.08530441316800069,-0.1821103029171824,0.24144990634570096,0.04484066815201235
Ashley Young,Inter,34,England,2019/2020,4000000.0,3200000.0,Wing-Back,it Serie A,18,13,1185.0,13.2,1.507084972875461,0.3549405847321249,-1.0098191640541656,-0.44544360382015913,0.14287957024469566
Ashley Young,Inter,35,England,2020/2021,3000000.0,1000000.0,Wing-Back,it Serie A,26,16,1425.0,15.8,-0.0014385006743656836,0.29648607768911717,-1.5961896953856196,0.6645630297012015,-0.418520121194877
Bartosz Bereszyński,Sampdoria,25,Poland,2017/2018,2000000.0,12000000.0,Wing-Back,it Serie A,31,28,2480.0,27.6,-0.5609559784535265,0.551669358175284,0.13604462004508483,-0.023861422840236193,0.01486002073951912
Bartosz Bereszyński,Sampdoria,26,Poland,2018/2019,11000000.0,10000000.0,Wing-Back,it Serie A,27,24,2200.0,24.4,-0.1277837925678398,0.8758824726386736,-0.33122417806142196,-0.13715037499746785,0.050991980568072
Bartosz Bereszyński,Sampdoria,27,Poland,2019/2020,8000000.0,6500000.0,Wing-Back,it Serie A,28,27,2402.0,26.7,-0.44193501564865173,-0.25787839801070067,0.1875787964457676,-0.8583674075190288,-0.21723426619315492
