Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating
Benjamin Pavard,Bayern Munich,24,France,2020/2021,40000000.0,35000000.0,Wing-Back,de Bundesliga,24,22,1943.0,21.6,0.7460589199763823,1.527777777777772
Bernardo,RB Leipzig,22,Brazil,2017/2018,5000000.0,6000000.0,Wing-Back,de Bundesliga,18,15,1350.0,15.0,0.6507776524803947,0.1111111111111021
Bernardo,Brighton,23,Brazil,2018/2019,9000000.0,9000000.0,Wing-Back,eng Premier League,22,19,1752.0,19.5,0.4381934217268084,-0.6249999999999986
Bernardo,Brighton,24,Brazil,2019/2020,6000000.0,4800000.0,Wing-Back,eng Premier League,14,7,679.0,7.5,0.2007958513686082,-0.374999999999995
Bernardo,Brighton,25,Brazil,2020/2021,4800000.0,4000000.0,Wing-Back,eng Premier League,3,2,206.0,2.3,-1.105325183732631,-0.1500000000000023
Bouna Sarr,Marseille,25,Guinea,2017/2018,2000000.0,6000000.0,Wing-Back,fr Ligue 1,29,18,1792.0,19.9,0.5301891749183757,0.825000000000003
Bouna Sarr,Marseille,26,Guinea,2018/2019,8000000.0,6000000.0,Wing-Back,fr Ligue 1,29,25,2242.0,24.9,0.2597507647094772,0.2000000000000005
Bouna Sarr,Marseille,27,Guinea,2019/2020,8000000.0,6500000.0,Wing-Back,fr Ligue 1,27,25,2164.0,24.0,0.1089866240855705,0.3414042051690664
Bouna Sarr,Bayern Munich,28,Guinea,2020/2021,9000000.0,4000000.0,Wing-Back,de Bundesliga,8,5,452.0,5.0,-0.1012263943720853,1.527777777777772
Calum Chambers,Arsenal,22,England,2017/2018,14000000.0,14000000.0,Wing-Back,eng Premier League,12,10,866.0,9.6,0.7975012937849424,0.5750000000000041
Calum Chambers,Fulham,23,England,2018/2019,14000000.0,14000000.0,Wing-Back,eng Premier League,31,29,2588.0,28.8,0.5157889335591077,-1.174999999999998
Calum Chambers,Arsenal,24,England,2019/2020,18000000.0,14500000.0,Wing-Back,eng Premier League,14,13,1102.0,12.2,0.4931558367589935,0.2000000000000052
Calum Chambers,Arsenal,25,England,2020/2021,14500000.0,12000000.0,Wing-Back,eng Premier League,10,8,753.0,8.4,0.2132989672294434,0.399999999999998
Charalambos Lykogiannis,Cagliari,23,Greece,2017/2018,1750000.0,2000000.0,Wing-Back,it Serie A,11,8,687.0,7.6,-0.5025909720865279,-0.6999999999999892
Charalambos Lykogiannis,Cagliari,24,Greece,2018/2019,2000000.0,1500000.0,Wing-Back,it Serie A,11,9,830.0,9.2,-0.5508933111115017,-0.4500000000000002
Charalambos Lykogiannis,Cagliari,25,Greece,2019/2020,1500000.0,1200000.0,Wing-Back,it Serie A,20,14,1338.0,14.9,-0.5774071866921255,-0.0999999999999973
Charalambos Lykogiannis,Cagliari,26,Greece,2020/2021,1400000.0,2500000.0,Wing-Back,it Serie A,31,29,2418.0,26.9,-0.3341272302687991,-0.3999999999999923
Charles Traore,Troyes,25,Mali,2017/2018,400000.0,2000000.0,Wing-Back,fr Ligue 1,34,33,2999.0,33.3,-0.2137194585715731,-0.6749999999999969
Charles Traore,Nantes,26,Mali,2018/2019,2000000.0,3000000.0,Wing-Back,fr Ligue 1,13,13,1163.0,12.9,0.0780752475001244,9.143313306604365e-16
Charles Traore,Nantes,27,Mali,2019/2020,3000000.0,2400000.0,Wing-Back,fr Ligue 1,20,20,1738.0,19.3,0.0670392489450902,-0.0396957927176841
Charles Traore,Nantes,28,Mali,2020/2021,2500000.0,2000000.0,Wing-Back,fr Ligue 1,22,19,1700.0,18.9,0.2210500535256573,-0.1999999999999974
Charlie Taylor,Burnley,23,England,2017/2018,5000000.0,5000000.0,Wing-Back,eng Premier League,11,10,950.0,10.6,-0.1759594144465957,-0.0749999999999971
Charlie Taylor,Burnley,24,England,2018/2019,5000000.0,7000000.0,Wing-Back,eng Premier League,38,35,3243.0,36.0,-0.3191445706001092,-0.5749999999999984
Charlie Taylor,Burnley,25,England,2019/2020,5000000.0,4000000.0,Wing-Back,eng Premier League,24,22,1945.0,21.6,-0.2122153976074137,-0.1749999999999951
Charlie Taylor,Burnley,26,England,2020/2021,4000000.0,4000000.0,Wing-Back,eng Premier League,29,28,2426.0,27.0,-0.2963985225421604,-0.5500000000000022
Christian Fuchs,Leicester,31,Austria,2017/2018,6000000.0,5000000.0,Wing-Back,eng Premier League,25,21,1921.0,21.3,0.3105441058207104,-0.0999999999999957
Christian Fuchs,Leicester,32,Austria,2018/2019,3500000.0,3000000.0,Wing-Back,eng Premier League,3,2,207.0,2.3,-0.0600186015027397,0.0750000000000008
Christian Fuchs,Leicester,33,Austria,2019/2020,2000000.0,1600000.0,Wing-Back,eng Premier League,11,8,772.0,8.6,0.3819692281702521,0.6500000000000052
Christian Fuchs,Leicester,34,Austria,2020/2021,1600000.0,800000.0,Wing-Back,eng Premier League,9,8,702.0,7.8,-0.0863522484572861,0.4499999999999977
Christian Günter,Freiburg,24,Germany,2017/2018,3500000.0,5000000.0,Wing-Back,de Bundesliga,34,34,3060.0,34.0,-0.5504596465648125,-0.6666666666666755
Christian Günter,Freiburg,25,Germany,2018/2019,9000000.0,9000000.0,Wing-Back,de Bundesliga,32,32,2879.0,32.0,-0.868332789870095,-0.4166666666666745
Christian Günter,Freiburg,26,Germany,2019/2020,12000000.0,9500000.0,Wing-Back,de Bundesliga,34,34,3029.0,33.7,-0.9603871042816944,0.0277777777777669
Christian Günter,Freiburg,27,Germany,2020/2021,9000000.0,12000000.0,Wing-Back,de Bundesliga,34,34,3060.0,34.0,-0.5188743789433998,-6.144259658568517e-15
Coke,Levante,30,Spain,2017/2018,4000000.0,2000000.0,Wing-Back,es La Liga,17,16,1383.0,15.4,-0.9179144544191552,-0.3499999999999984
Coke,Levante,31,Spain,2018/2019,2000000.0,2000000.0,Wing-Back,es La Liga,27,19,1817.0,20.2,0.0385196695753782,-0.1749999999999975
Coke,Levante,32,Spain,2019/2020,1500000.0,1200000.0,Wing-Back,es La Liga,17,11,989.0,11.0,-0.0022521912205069,-0.1500000000000006
Coke,Levante,33,Spain,2020/2021,1000000.0,800000.0,Wing-Back,es La Liga,17,11,835.0,9.3,-0.2058427043887851,-0.2749999999999999
Cristian Ansaldi,Torino,30,Argentina,2017/2018,5500000.0,5000000.0,Wing-Back,it Serie A,25,20,1872.0,20.8,-0.0561836998041975,0.2000000000000118
Cristian Ansaldi,Torino,31,Argentina,2018/2019,5000000.0,5000000.0,Wing-Back,it Serie A,24,23,1807.0,20.1,-0.233257112234681,0.3750000000000001
Cristian Ansaldi,Torino,32,Argentina,2019/2020,5000000.0,4000000.0,Wing-Back,it Serie A,27,21,1768.0,19.6,0.0455799099957555,-0.5499999999999986
