Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Passing_Ability,Shot-Stopping,Territorial_Command,Team_Impact,Overall_Performance_Index
Sergio Asenjo,Villarreal,30,Spain,2019/2020,12000000,9500000,Goalkeeper,es La Liga,34,34,3060.0,34.0,-0.29488130696557774,0.2375635661120407,0.4425378014175271,0.1624191007560866,0.14442423686561456
Sergio Asenjo,Villarreal,31,Spain,2020/2021,9000000,9000000,Goalkeeper,es La Liga,36,36,3240.0,36.0,0.32663675221426464,-0.5899616234955647,1.1155931633667429,0.40706642909939084,0.21513087503671285
Sergio Rico,Sevilla,23,Spain,2017/2018,20000000,12000000,Goalkeeper,es La Liga,24,23,2157.0,24.0,-1.2427683332039396,-1.1538229737919061,0.5035295207921028,0.13524513425827933,-0.5683609737913845
Sergio Rico,Fulham,24,Spain,2018/2019,12000000,12000000,Goalkeeper,eng Premier League,29,29,2610.0,29.0,-0.08459704066850651,0.3740037290482135,0.34700529360293736,-1.7246133159169024,-0.06218862898705291
Sergio Rico,Paris S-G,25,Spain,2019/2020,10000000,8000000,Goalkeeper,fr Ligue 1,2,2,180.0,2.0,0.0860812745444966,-0.0768347379181596,-1.3781170028139758,-0.6326874375761625,-0.44480420597515
Sergio Rico,Paris S-G,26,Spain,2020/2021,8000000,7000000,Goalkeeper,fr Ligue 1,10,8,810.0,9.0,0.10458853172429175,0.5841694823242086,-1.2367413230396647,1.153038217202183,0.0943768535649572
Steve Mandanda,Marseille,32,France,2017/2018,8000000,2500000,Goalkeeper,fr Ligue 1,31,31,2680.0,29.8,-0.5494149522461745,-0.054030286725864726,0.6144078174426955,0.643436718109896,0.09385312366156198
Steve Mandanda,Marseille,33,France,2018/2019,2500000,2500000,Goalkeeper,fr Ligue 1,31,31,2735.0,30.4,-0.24793151513583905,-0.7090672170085814,0.012496157286769487,-0.06299869797450994,-0.3164821701114474
Steve Mandanda,Marseille,34,France,2019/2020,2500000,2400000,Goalkeeper,fr Ligue 1,27,27,2370.0,26.3,-0.2813761542878941,0.1149391929491152,-0.3265433489089899,0.6267845949009855,-0.01773346903188286
Steve Mandanda,Marseille,35,France,2020/2021,2500000,2000000,Goalkeeper,fr Ligue 1,37,37,3330.0,37.0,0.10585053384735066,-0.7727714126868966,-0.4009825769757541,-0.0024821776226355017,-0.34462533186591
Thibaut Courtois,Chelsea,25,Belgium,2017/2018,40000000,60000000,Goalkeeper,eng Premier League,35,35,3150.0,35.0,0.19251320012408737,-0.5514179970594784,-0.619249754724706,0.7776214905028379,-0.1830372140455464
Thibaut Courtois,Real Madrid,26,Belgium,2018/2019,65000000,55000000,Goalkeeper,es La Liga,27,27,2430.0,27.0,-0.2958709712935206,-0.23965115041668164,0.03857267103161942,0.09591613958073719,-0.13381505677420327
